INFO 2025-05-16 18:37:08,108 recommendation_engine 7784 19928 Evaluating model on the test set...
INFO 2025-05-16 18:37:08,116 recommendation_engine 7784 19928 Evaluation - RMSE: 1.2631, MAE: 1.0832
INFO 2025-05-16 18:37:08,152 services 7784 19928 Successfully trained and saved svd model with id 2
INFO 2025-05-16 18:37:28,078 utils 41224 41008 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 18:37:29,830 services 41224 41008 Starting training of knn recommendation model
INFO 2025-05-16 18:37:30,036 recommendation_engine 41224 41008 RecommendationEngine initialized with model type: KNN
INFO 2025-05-16 18:37:30,036 recommendation_engine 41224 41008 Starting model training process...
INFO 2025-05-16 18:37:30,036 recommendation_engine 41224 41008 Filtering users with less than 5 ratings.
INFO 2025-05-16 18:37:30,038 recommendation_engine 41224 41008 Users before filtering: 4. Users after filtering: 4. Ratings remaining: 2008
INFO 2025-05-16 18:37:30,039 recommendation_engine 41224 41008 Creating Surprise Dataset with scale (1, 5).
INFO 2025-05-16 18:37:30,042 recommendation_engine 41224 41008 Splitting data into training and testing sets.
INFO 2025-05-16 18:37:30,050 recommendation_engine 41224 41008 Training KNN model...
INFO 2025-05-16 18:37:30,064 recommendation_engine 41224 41008 Model training complete.
INFO 2025-05-16 18:37:30,064 recommendation_engine 41224 41008 Evaluating model on the test set...
INFO 2025-05-16 18:37:30,068 recommendation_engine 41224 41008 Evaluation - RMSE: 1.2629, MAE: 1.0808
INFO 2025-05-16 18:37:30,088 services 41224 41008 Successfully trained and saved knn model with id 3
INFO 2025-05-16 18:39:32,281 utils 19564 16524 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 18:39:54,789 utils 20624 33676 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 18:47:50,101 utils 16524 32636 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 18:47:53,687 utils 36740 10792 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 18:49:14,814 recommendation_engine 36740 30716 Generating 10 recommendations for user_id '4'.
INFO 2025-05-16 18:49:14,832 recommendation_engine 36740 30716 Successfully generated 10 recommendations for user '4'.
INFO 2025-05-16 18:49:14,903 services 36740 30716 Generated 10 recommendations for user 4
INFO 2025-05-16 18:50:10,010 recommendation_engine 36740 30716 Generating 10 recommendations for user_id '4'.
INFO 2025-05-16 18:50:10,044 recommendation_engine 36740 30716 Successfully generated 10 recommendations for user '4'.
INFO 2025-05-16 18:50:10,092 services 36740 30716 Generated 10 recommendations for user 4
INFO 2025-05-16 18:51:05,173 recommendation_engine 36740 30716 Generating 10 recommendations for user_id '4'.
INFO 2025-05-16 18:51:05,195 recommendation_engine 36740 30716 Successfully generated 10 recommendations for user '4'.
INFO 2025-05-16 18:51:05,263 services 36740 30716 Generated 10 recommendations for user 4
INFO 2025-05-16 19:23:00,761 utils 13940 23564 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:23:28,532 utils 14048 22056 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:23:43,081 utils 41832 6552 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:30:32,940 utils 36508 42092 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:48:30,165 utils 39640 40816 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:49:07,488 utils 22220 26440 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:49:49,425 utils 42316 37188 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:51:22,428 utils 41368 37876 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendations\engine
INFO 2025-05-16 19:58:10,369 utils 40852 12412 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\engine
INFO 2025-05-16 20:08:52,678 utils 10368 12380 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\engine
INFO 2025-05-16 20:11:39,222 utils 32116 12632 Added recommendation engine path to sys.path: A:\web django\GradProject\New folder\BookNest\BookNest\recommendation\engine
